City,Extortion,Sexual Exploitation,Anger,Disrupt Public Service,Political Motives,Spreading Piracy,Steal Information,Causing Disrepute,Fraud,Others
Agra,0,0,12,0,0,0,0,0,64,65
Allahabad,28,3,0,0,0,0,0,21,543,0
Amritsar,0,3,1,0,0,0,0,3,5,6
Asansol,0,0,2,0,0,0,0,0,6,22
Aurangabad,0,38,7,0,0,0,0,0,101,0
Bhopal,8,2,0,1,0,0,0,17,8,0
Chandigarh City,3,7,0,0,0,0,0,0,26,6
Dhanbad,0,0,0,0,0,0,0,0,125,0
Durg-Bhilainagar,0,2,0,0,0,0,0,10,0,4
Faridabad,1,12,0,0,0,2,0,0,21,28
Gwalior,2,3,2,0,0,0,0,32,44,0
Jabalpur,0,0,0,0,0,0,0,0,0,0
Jamshedpur,0,0,0,0,0,0,0,0,122,0
Jodhpur,7,11,2,0,0,0,0,7,176,81
Kannur,0,2,1,0,3,0,0,2,2,1
Kollam,0,10,0,0,0,0,0,0,13,0
Kota,5,8,3,0,1,0,0,20,13,0
Ludhiana,8,24,0,0,1,0,0,0,27,1
Madurai,0,0,0,0,0,0,0,0,2,0
Malappuram,1,2,1,0,1,0,0,0,3,0
Meerut,0,0,0,0,0,0,0,152,0,11
Nasik,0,25,0,0,0,0,0,19,76,0
Raipur,0,18,0,1,1,0,0,13,4,8
Rajkot,0,4,0,0,0,0,0,0,10,5
Ranchi,0,0,0,0,0,0,0,0,358,0
Srinagar,1,0,0,0,0,0,0,5,7,4
Thiruvananthapuram,3,18,13,0,12,0,0,8,36,4
Thrissur,0,5,2,0,0,0,0,1,5,0
Tiruchirapalli,5,0,4,0,1,0,0,0,0,5
Vadodara,0,0,0,0,0,0,0,3,20,1
Varanasi,10,67,43,14,4,26,0,44,235,176
Vasai Virar,0,19,1,0,1,1,0,6,32,15
Vijayawada,13,28,4,0,1,1,2,0,280,72
Vishakhapatnam,1,0,23,0,3,0,0,0,717,64
