City,Extortion,Sexual Exploitation,Anger,Disrupt Public Service,Political Motives,Spreading Piracy,Steal Information,Causing Disrepute,Fraud,Others,Total Crimes,Latitude,Longitude,State/UT,Region
Agra,0,0,12,0,0,0,0,0,64,65,282,27.1767,78.0081,Uttar Pradesh,North
Allahabad,28,3,0,0,0,0,0,21,543,0,1190,25.4358,81.8463,Uttar Pradesh,North
Amritsar,0,3,1,0,0,0,0,3,5,6,36,31.634,74.8723,Punjab,North
Asansol,0,0,2,0,0,0,0,0,6,22,60,23.685,86.9524,West Bengal,East
Aurangabad,0,38,7,0,0,0,0,0,101,0,292,19.8762,75.3433,Maharashtra,West
Bhopal,8,2,0,1,0,0,0,17,8,0,72,23.2599,77.4126,Madhya Pradesh,West
Chandigarh City,3,7,0,0,0,0,0,0,26,6,84,30.7333,76.7794,Chandigarh (UT),North
Dhanbad,0,0,0,0,0,0,0,0,125,0,250,23.7957,86.4304,Jharkhand,East
Durg-Bhilainagar,0,2,0,0,0,0,0,10,0,4,32,21.1904,81.2849,Chhattisgarh,West
Faridabad,1,12,0,0,0,2,0,0,21,28,128,28.4089,77.3178,Haryana,North
Gwalior,2,3,2,0,0,0,0,32,44,0,166,26.2183,78.1828,Madhya Pradesh,West
Jabalpur,0,0,0,0,0,0,0,0,0,0,0,23.1815,79.9864,Madhya Pradesh,West
Jamshedpur,0,0,0,0,0,0,0,0,122,0,244,22.8046,86.2029,Jharkhand,East
Jodhpur,7,11,2,0,0,0,0,7,176,81,568,26.2389,73.0243,Rajasthan,North
Kannur,0,2,1,0,3,0,0,2,2,1,22,11.8745,75.3704,Kerala,South
Kollam,0,10,0,0,0,0,0,0,13,0,46,8.8932,76.6141,Kerala,South
Kota,5,8,3,0,1,0,0,20,13,0,100,25.2138,75.8648,Rajasthan,North
Ludhiana,8,24,0,0,1,0,0,0,27,1,122,30.9,75.8573,Punjab,North
Madurai,0,0,0,0,0,0,0,0,2,0,4,9.9252,78.1198,Tamil Nadu,South
Malappuram,1,2,1,0,1,0,0,0,3,0,16,11.0732,76.0748,Kerala,South
Meerut,0,0,0,0,0,0,0,152,0,11,326,28.9845,77.7064,Uttar Pradesh,North
Nasik,0,25,0,0,0,0,0,19,76,0,240,19.9975,73.7898,Maharashtra,West
Raipur,0,18,0,1,1,0,0,13,4,8,90,21.2514,81.6296,Chhattisgarh,West
Rajkot,0,4,0,0,0,0,0,0,10,5,38,22.3039,70.8022,Gujarat,West
Ranchi,0,0,0,0,0,0,0,0,358,0,716,23.3441,85.3096,Jharkhand,East
Srinagar,1,0,0,0,0,0,0,5,7,4,34,34.0837,74.7973,Jammu & Kashmir,North
Thiruvananthapuram,3,18,13,0,12,0,0,8,36,4,188,8.5241,76.9366,Kerala,South
Thrissur,0,5,2,0,0,0,0,1,5,0,26,10.5276,76.2144,Kerala,South
Tiruchirapalli,5,0,4,0,1,0,0,0,0,5,30,10.7905,78.7047,Tamil Nadu,South
Vadodara,0,0,0,0,0,0,0,3,20,1,48,22.3072,73.1812,Gujarat,West
Varanasi,10,67,43,14,4,26,0,44,235,176,1238,25.3176,82.9739,Uttar Pradesh,North
Vasai Virar,0,19,1,0,1,1,0,6,32,15,150,19.3919,72.8397,Maharashtra,West
Vijayawada,13,28,4,0,1,1,2,0,280,72,802,16.5062,80.648,Andhra Pradesh,South
Vishakhapatnam,1,0,23,0,3,0,0,0,717,64,1616,17.6868,83.2185,Andhra Pradesh,South
